siteName,permit,count
Naked Lake/Cabin Run,13-SP-1100,65
Aaron Mine No. 1/ Taylor #1 Mine,DM-00-111,22
Bakerstown No. 1,DM-03-112,14
Casselman Mine,DM-09-113,87
Taylor No. 1 Lower Bakerstown Mine,DM-17-114,18
Mettiki Mine,DM-84-101,52
Steyer Deep Mine,DM-90-109,36
Snake Hill Yard No. 1,SC-07-120,48
Mine No. 5 Tipple,SC-08-104,45
Steyer Deep Mine,SC-17-121,10
Shaft Tipple,SC-83-110,46
Franklin Coal Yard,SC-87-116,42
Clark Tipple,SC-87-117,49
Frostburg Loadout,SC-87-118,49
Pee Wee Hill Mine,SM-00-435,56
Watertank Pittsburg Mine,SM-01-437,45
Miller Road Mine,SM-01-440,50
Wildman Mine,SM-02-441,51
Beechwood Mine,SM-02-442,49
Island Tract Mine,SM-02-443,56
Hampshire Hill Mines,SM-03-436,38
Crawford Farm,SM-03-444,50
Little Pittsburgh Strip,SM-04-445,53
Pittsburgh Strip,SM-04-446,50
Commonwealth Mine,SM-05-447,46
Russell Farm,SM-05-448,49
Midlothian Barnes Mine,SM-05-449,44
Paugh Tract/ Potomac Camp,SM-06-450,33
Federal Hill Mine,SM-06-451,45
Table Rock Mine,SM-06-452,21
Walker Mine,SM-07-453,51
Duckworth Mine,SM-07-454,52
Silt Pit,SM-08-359,46
Koontz Mine,SM-08-403,55
Messenger/Harlem Mine,SM-08-455,53
Jackson Mt. Big Vein Mine,SM-09-456,47
Pond Hill Mine,SM-11-457,49
Althouse Hill Mine,SM-11-458,54
Wolfden Mine,SM-11-459,61
Underwood Mine,SM-12-460,55
Macgruder Mine,SM-13-461,50
Winter Farm,SM-13-462,28
Lower Bakerstown Mine,SM-13-463,23
Carlos Mine,SM-84-393,55
Barnes Mine,SM-85-399,46
Koontz Mine,SM-86-404,52
Harvey Mine,SM-86-407,46
Common Wealth,SM-87-411,46
Caledonia Hill Job,SM-91-419,57
Manor Hill Job,SM-92-421,45
Weir-Jones Mine,SM-95-424,46
Barton North Mine,SM-96-427,59
C-Mine Strip,SM-97-428,41
Hampshire Hill,SM-98-430,46
Jackson Mountain Mine,SM-99-432,62
Consol Mine,SM-08-040,0