report_number,Inspection_Date,evidence collected,permit_acres,affected_acres,est_bonded_limit,est_open_acres,Permit_no.x,Inspector,County,Novo_date,num_viol,NOVO_num,Report Violation,COMAR,history_viol,seriousness_viol,negligence_viol,effect_viol_reclamation,good_faith,assessment_failure,total_assess,day_beyond_deadline,deadline,total_paid,received_date,notes,violation_issued_fy,Date,Permit_no.y,permittee,Status,Sig_vio,impact_type,description,stop_work_order,outcome,penalty_status,quarter_year_resolved
040-140324-FIR,3/24/14,A,180,177,50,42,SM-08-040,R. Mongold,Allegany,3/24/14,1 of 1,040-140324-NOV,Seismograph,26.20.22.06,0,500,0,0,-300,0,200,0,4/14/14,200,8/28/14,"2. Nature of Violation: According to the blast report and the blaster in charge, Dennis Fox, the seismograph was located at the Ritchie residence some 1,222 feet away. Also the GPS coordinates reported on the blast report were not correct for this location.
Further review showed that the reported blast location was approximately 530&#39; from the nearest protected
structure. This residence should have been used for recording the seismograph reading on 2/26/2014.",2014,3/24/14,SM-08-040,"Ritchie Trucking Co., Inc",A,NA,NA,blasting,no,resolved,8/4/15,1 of 16
104-151103-FIR,11/3/15,VO,49,49,49,49,SC-08-104,Murphy,Allegany,11/3/15,1 of 1,104-151103-NOV,Failure to Sample/Submit,26.20.20.05,0,0,500,0,-500,0,0,0,12/2/15,0,0,"It was discovered during an office review, that in June of 2015, there was a discharge from Outfall 002. The
NPDES Permit requires sampling for selenium. This was not submitted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419-170818-FIR,8/18/17,P,506,463,167,166,SM-91-419,Ron Schartiger,Garrett,8/17/17,1 of 1,419-170817-NOV,Turbid Water,26.20.21.02,0,750,500,0,-1000,0,250,0,8/25/17,250,3/14/18,NA,2018,8/17/17,SM-91-419,Tri-Star Mining Inc.,NA,yes,e/h,non-compliant discharge,no,resolved,3/13/18,3 of 18
435-140918-FIR,9/18/14,VO,220,204,101,93,SM-00-435,Murray,Garrett,9/18/14,1 of 1,435-140918-NOV,Mining off permit,26.20.31.07,0,1500,1000,0,-1000,0,1500,0,10/30/14,1500,3/17/15,NA,2015,9/18/14,SM-00-435,G & S Coal Co. Inc.,NA,yes,t/p,mined off permit,yes,resolved,3/12/15,NA
441-161004-FIR,10/4/16,VO,24,23,24,0,SM-02-441,Ron Schartiger,Garrett,10/6/16,1 of 1,441-161006-NOV,Rills and gullies,26.20.28.06,0,0,0,500,-300,0,200,0,10/24/16,200,3/2/17,Rills and gullies have been an ongoing issue on the Benard tract. The issues were discussed with the operator on multiple occasions.,2017,10/6/16,SM-02-441,G & S Coal Co. Inc.,NA,yes,t/p,rills and gullies,no,resolved,2/24/17,3 of 17
443-170110-FIR,1/10/17,P,511,498,273,65,SM-02-443,Ron Schartiger,Garrett,1/10/17,1 of 1,443-170110-NOV,Discharge exceeds limits,26.20.21.02,0,1000,1000,0,-1000,0,1000,0,1/10/17,1000,4/17/17,NA,2017,1/10/17,SM-02-443,Vindex Energy Corp.,NA,yes,e/h,non-compliant discharge,no,resolved,4/18/17,4 of 17
450-160104-FIR,1/4/16,P,34,33,15,1,SM-06-450,Ron Schartiger,Garrett,1/6/16,1 of 2,450-160106-NOV,Rills and gullies,26.20.28.06,0,750,0,500,0,0,1250,0,1/29/16,0,0,"The operator was directed to make repairs on any rills that have formed on the permit area. The operator has failed
to make the necessary repairs by the deadline. A violation will be issued.
The operator was directed to make repairs on several areas that were sparsely vegetated. The operator has failed
to make the necessary repairs within the deadline. A violation will be issued.",2016,1/6/16,SM-06-450,LAOC Corp,NA,yes,t/p,1) regrading or stabilizing rills washes 2) vegetation,no,resolved,10/1/16,2 of 17
450-160104-FIR,1/4/16,P,34,33,15,1,SM-06-450,Ron Schartiger,Garrett,1/6/16,2 of 2,450-160106-NOV,Vegetation,26.21.01.15,600,750,0,500,0,0,1850,0,1/29/16,0,0,Death of Tom Shank and limited means of POA meant no fines had to be paid,2016,1/6/16,SM-06-450,LAOC Corp,NA,yes,t/p,1) regrading or stabilizing rills washes 2) vegetation,no,resolved,10/1/16,2 of 17
452-140221-FIR,2/21/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,3/3/14,1 of 2,452-140304-NOV,Peak Particle Velocity,26.20.22.06,0,500,0,0,-400,0,100,0,3/6/14,100,8/28/14,NA,2014,3/4/14,SM-06-452,WPO Inc.,A,NA,NA,blast exceeded limits TSS were exceeded,no,resolved,8/19/14,NA
452-140221-FIR,2/21/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,3/3/14,2 of 2,452-140304-NOV,Discharge exceeds limits,26.20.21.02,600,500,0,0,-500,0,600,0,3/4/14,600,8/28/14,NA,2014,3/4/14,SM-06-452,WPO Inc.,A,NA,NA,blast exceeded limits TSS were exceeded,no,resolved,8/19/14,NA
452-140602-FIR,6/2/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,6/16/14,1 of 2,452-140616-NOV,Ground Water Monitoring,26.20.20.04,2000,1000,1500,0,0,0,4500,0,6/20/14,4500,11/14/14,"DMR&#39;s and BOM Quarterly Ground Water reports revealed that neither has been submitted since
December, 2013. After talking with the operator and the consultant that last performed the sampling, no samples
have been taken for the first five months of 2014.",2014,6/16/14,SM-06-452,WPO Inc.,A,NA,NA,NPDES.BOM Monitoring,no,resolved,11/14/14,NA
452-140602-FIR,6/2/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,6/16/14,2 of 2,452-140616-NOV,Surface Water Monitoring,26.20.20.05,2000,1000,1500,0,0,0,4500,0,6/20/14,4500,11/14/14,NA,2014,6/16/14,SM-06-452,WPO Inc.,A,NA,NA,NPDES.BOM Monitoring,no,resolved,11/14/14,NA
452-140708-FIR,7/8/14,A,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,7/8/14,1 of 2,452-140708-NOV,Ground Water Monitoring,26.20.20.04,2000,1000,1500,0,0,0,4500,0,8/18/14,0,0,office believes records were falsified,2015,7/8/14,SM-06-452,WPO Inc.,NA,yes,t/p,failure to submit reports,no,resolved,forfeiture,4 of 16
452-140708-FIR,7/8/14,A,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,7/8/14,2 of 2,452-140708-NOV,Surface Water Monitoring,26.20.20.05,2000,1000,1500,0,0,0,4500,0,8/18/14,0,0,office believes records were falsified,2015,7/8/14,SM-06-452,WPO Inc.,NA,yes,t/p,failure to submit reports,no,resolved,forfeiture,4 of 16
452-140808-FIR,8/8/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,8/13/14,1 of 1,452-140813-NOV,Ground Water Monitoring,26.20.20.04,2000,1000,0,0,-1000,0,2000,0,8/21/14,0,0,"Inspector goes back. Finds debris, reports were not submitted. Orders cessation of work on site..later reports say WPO has made arrangements with Central collections Agency and Maryland Cmoptroller's Office to pay outstanding account",2015,8/13/14,SM-06-452,WPO Inc.,NA,yes,t/p,reports,yes,resolved,forfeiture,4 of 16
452-140808-FIR,8/8/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,8/13/14,2 of 3,452-140813-NOV,Surface Water Monitoring,26.20.20.05,2000,1000,0,0,-1000,0,2000,0,8/21/14,0,0,"Inspector goes back. Finds debris, reports were not submitted. Orders cessation of work on site..later reports say WPO has made arrangements with Central collections Agency and Maryland Cmoptroller's Office to pay outstanding account",2015,8/13/14,SM-06-452,WPO Inc.,NA,yes,t/p,reports,yes,resolved,forfeiture,4 of 16
452-140808-FIR,8/8/14,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,8/13/14,3 of 3,452-140813-NOV,Tonnage Reports,15-508,2000,1000,1000,0,-1000,0,3000,0,8/21/14,0,0,"Inspector goes back. Finds debris, reports were not submitted. Orders cessation of work on site..later reports say WPO has made arrangements with Central collections Agency and Maryland Cmoptroller's Office to pay outstanding account",2015,8/13/14,SM-06-452,WPO Inc.,NA,yes,t/p,reports,yes,resolved,forfeiture,4 of 16
452-150728-FIR,7/28/15,VO,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,7/28/15,1 of 1,452-150728-NOV,Mining Operators License,15-504,2000,1000,1500,0,0,0,4500,0,8/21/15,0,0,"Open-Pit Mining Operators License was conducted for WPO Inc. WPO Inc. has been
operating without a license and has not taken the proper steps to get their license renewed. WPO Inc. has
outstanding penalties that are due to Maryland Department of the Environment. Also WPO Inc. owes Maryland
State Taxes, Mine Reclamation and Bond Supplement Surcharges to the Bureau of Mines, Garrett County, State of
Maryland and the Federal Government.",2016,7/8/15,SM-06-452,WPO Inc.,NA,yes,t/p,Renew License,yes,resolved,forfeiture,4 of 16
452-151021-FIR,10/21/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,10/21/15,1 of 1,452-151021-NOV,Mining Operators License,15-504,2000,1500,1500,0,0,0,5000,0,11/6/15,0,0,"Inspector reviews payments for previous NOV. Gets email from Roderick Morant, Administrator for the State of Maryland Central Collections Unit, Mr. Morant
stated &quot;Based on their failure to enter into the promissory note drafted and submission of a payment that was
returned due to non-sufficient funds, CCU is requiring payment in full of all three outstanding accounts.&quot;",2016,10/21/15,SM-06-452,WPO Inc.,NA,yes,t/p,license,yes,resolved,forfeiture,4 of 16
452-151110-FIR,11/10/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,11/10/15,1 of 5,452-151110-NOV,Tonnage Reports,15-508,2000,1000,1500,0,0,0,4500,0,11/20/15,0,0,"These 5 violations have been discussed with the operator prior to writing NOVO 452-151110-NOV. To date,
no actions have been taken by the operator to correct the issues.",2016,11/10/15,SM-06-452,WPO Inc.,NA,yes,t/p,1) tonnage reports 2) groundwater 3) dispose of non-coal waste 4)annual inspoections and reports 5) vegetatoin,yes,resolved,forfeiture,2 of 17
452-151110-FIR,11/10/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,11/10/15,2 of 5,452-151110-NOV,Ground Water Monitoring,26.20.20.04,2000,1000,1500,0,0,0,4500,0,11/20/15,0,0,"Only violation terminated in next NOVO docs...These 5 violations have been discussed with the operator prior to writing NOVO 452-151110-NOV. To date,
no actions have been taken by the operator to correct the issues.",2016,11/10/15,SM-06-452,WPO Inc.,NA,yes,t/p,1) tonnage reports 2) groundwater 3) dispose of non-coal waste 4)annual inspoections and reports 5) vegetatoin,yes,resolved,forfeiture,2 of 17
452-151110-FIR,11/10/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,11/10/15,3 of 5,452-151110-NOV,Disposal of non-coal waste,26.20.27.08,2000,1000,1500,0,0,0,4500,0,11/20/15,0,0,"These 5 violations have been discussed with the operator prior to writing NOVO 452-151110-NOV. To date,
no actions have been taken by the operator to correct the issues.",2016,11/10/15,SM-06-452,WPO Inc.,NA,yes,t/p,1) tonnage reports 2) groundwater 3) dispose of non-coal waste 4)annual inspoections and reports 5) vegetatoin,yes,resolved,forfeiture,2 of 17
452-151110-FIR,11/10/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,11/10/15,4 of 5,452-151110-NOV,Annual Inspections,26.20.21.09,2000,1000,1500,0,0,0,4500,0,11/20/15,0,0,"These 5 violations have been discussed with the operator prior to writing NOVO 452-151110-NOV. To date,
no actions have been taken by the operator to correct the issues.",2016,11/10/15,SM-06-452,WPO Inc.,NA,yes,t/p,1) tonnage reports 2) groundwater 3) dispose of non-coal waste 4)annual inspoections and reports 5) vegetatoin,yes,resolved,forfeiture,2 of 17
452-151110-FIR,11/10/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,11/10/15,5 of 5,452-151110-NOV,Vegetation,26.21.01.15,2000,1000,1500,500,0,0,5000,0,11/20/15,0,0,"These 5 violations have been discussed with the operator prior to writing NOVO 452-151110-NOV. To date,
no actions have been taken by the operator to correct the issues.",2016,11/10/15,SM-06-452,WPO Inc.,NA,yes,t/p,1) tonnage reports 2) groundwater 3) dispose of non-coal waste 4)annual inspoections and reports 5) vegetatoin,yes,resolved,forfeiture,2 of 17
452-151110-FIR,11/10/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,11/10/15,1 of 1,452-151110-NOV-FTACO,Failure to correct violation,15-521,2000,1000,1500,0,0,30000,34500,30,11/6/15,0,0,Inspector again finds that the operator did not comply with cessation order. Also notes that the operator had not taken action to correct earlier issues.,2016,11/10/15,SM-06-452,WPO Inc.,NA,yes,t/p,failure_to_comply,yes,resolved,forfeiture,2 of 17
452-151202-FIR,12/2/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,12/2/15,1 of 4,452-151202-NOV-FTACO,Failure to correct violation,15-521,2000,1000,1500,0,0,30000,34500,30,11/20/15,0,0,"Fines enforced after WPO Inc. did not have
a representative present for the Enforcement Conference.",2016,12/2/15,SM-06-452,WPO Inc.,NA,yes,t/p,failure_to_comply,yes,resolved,forfeiture,2 of 17
452-151202-FIR,12/2/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,12/2/15,2 of 4,452-151202-NOV-FTACO,Failure to correct violation,15-521,2000,1000,1500,0,0,30000,34500,30,11/20/15,0,0,"Fines enforced after WPO Inc. did not have
a representative present for the Enforcement Conference.",2016,12/2/15,SM-06-452,WPO Inc.,NA,yes,t/p,failure_to_comply,yes,resolved,forfeiture,2 of 17
452-151202-FIR,12/2/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,12/2/15,3 of 4,452-151202-NOV-FTACO,Failure to correct violation,15-521,2000,1000,1500,0,0,30000,34500,30,11/20/15,0,0,Fines enforced after WPO Inc. did not have a representative present for the Enforcement Conference.,2016,12/2/15,SM-06-452,WPO Inc.,NA,yes,t/p,failure_to_comply,yes,resolved,forfeiture,2 of 17
452-151202-FIR,12/2/15,N,39,29,22,18,SM-06-452,Ron Schartiger,Garrett,12/2/15,4 of 4,452-151202-NOV-FTACO,Failure to correct violation,15-521,2000,1000,1500,500,0,30000,35000,30,11/20/15,0,0,"Fines enforced after WPO Inc. did not have
a representative present for the Enforcement Conference.",2016,12/2/15,SM-06-452,WPO Inc.,NA,yes,t/p,failure_to_comply,yes,resolved,forfeiture,2 of 17
453-160404-FIR,4/4/16,VO,32,26,23,20,SM-07-453,Ron Schartiger,Allegany,4/4/16,1 of 1,453-160404-NOV,Mining off permit,26.20.05.03,0,0,0,0,0,0,0,0,5/4/16,0,0,"It has been determined that Walker Brothers Mining Inc. has mined off of the Approved Coal Mine Permit along the Eastern portion of the permit. Also, the mine is conducting coal mining activities on the adjacent property to the North of the Approved Coal Mine Permit.",2016,4/4/16,SM-07-453,Walker Bros Mining Inc,NA,yes,t/p,mined off permit,yes,resolved,10/19/16,2 of 17
454-151130-FIR,11/30/15,VO,121,80,61,56,SM-07-454,Murphy,Garrett,11/30/15,1 of 1,454-151130-NOV,Failure to Sample/Submit,26.20.20.05,0,0,500,0,-500,0,0,0,1/2/16,0,0,"It was discovered during an office review, that in April of 2015, there was a discharge from Outfalls #001 and #003. The NPDES Permit requires a metal sweep and sampling for selenium for both outfalls. This was not submitted.",2016,11/30/15,SM-07-454,G & S Coal Co. Inc.,NA,no,t/p,submit metal sweeps & selenium,no,resolved,no penalty warranted,NA
454-160324-FIR,2/24/16,VO,121,80,61,56,SM-07-454,Murphy,Garrett,2/24/16,1 of 2,454-160224-NOV,Failure to Dewater,26.20.05.03,1200,500,0,0,-1500,0,200,0,2/24/18,200,12/22/16,"Pumping and backfilling required by this permit and as noted on previous field reports does not meet permit
requirements",2016,2/24/16,SM-07-454,G & S Coal Co. Inc.,NA,yes,t/p,1)dewater bakerstown pit 2) complete rough backfilling,no,resolved,12/20/17,2 of 17
454-160324-FIR,2/24/16,VO,121,80,61,56,SM-07-454,Murphy,Garrett,2/24/16,2 of 2,454-160224-NOV,Faulure to Backfill,26.20.28.01,2000,500,0,0,-2000,0,500,0,3/7/16,500,12/22/16,"Pumping and backfilling required by this permit and as noted on previous field reports does not meet permit
requirements",2016,2/24/16,SM-07-454,G & S Coal Co. Inc.,NA,yes,t/p,1)dewater bakerstown pit 2) complete rough backfilling,no,resolved,12/20/17,2 of 17
454-160224-FIR,3/24/16,VO,121,80,61,56,SM-07-454,Murphy,Garrett,3/21/16,1 of 2,454-160324-NOV,Seismograph,26.20.22.06,0,0,0,0,0,0,0,0,3/21/16,0,9/26/16,"After OSM oversight and review of the blast logs with Joe Montrella, it was brought to our attention that the
operator did not set a seismograph at the nearest dwelling. After review by John E. Carey, Director, and Tom
Murray, Inspection and Enforcement supervisor, it was determined to issue this NOVO, 454-160324-NOV.
Violation 1 of 2 for NOVO 454-130324-NOV is being terminated after review of COMAR with Tom Murray, and
Tim Schwinabart, Vise President of G &amp; S Coal.
After receiving lab results from a sample taken from outfall # 001 on 3-11-16 by Joe Montrella, it was determined
that the effluent limits for manganese had been exceeded. Issuing NOVO 454160324-NOV.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454-160224-FIR,3/24/16,VO,121,80,61,56,SM-07-454,Murphy,Garrett,3/21/16,2 of 2,454-160324-NOV,Discharge exceeds limits,26.20.21.02,600,500,0,0,-900,0,200,0,3/21/16,200,9/26/16,manganese discharge in excess of effluent limits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457-170512-FIR,5/12/17,VO,70,47,50,47,SM-11-457,Ron Schartiger,Allegany,5/12/17,1 of 1,457-170512-NOV,Discharge exceeds limits,26.20.21.02,0,750,500,0,-1000,0,250,0,5/9/17,250,11/22/17,Review found out of compliance for several months,2017,5/12/17,SM-11-457,Beechwood Coal LLC,NA,yes,e/h,non-compliant discharge,no,resolved,11/7/17,2 of 18
458-140903-FIR,9/3/14,VO,21,10,10,10,SM-11-458,Ron Schartiger,Garrett,9/3/14,1 of 1,458-140903-NOV,discharge exceeds limits,26.20.21.02,0,1000,0,0,-800,0,200,0,9/4/14,200,10/1/14,This inspector was immediately notified by the operator of the effluent exceedences upon receiving the laboratory results…was corected in a timely manner,2015,9/3/14,SM-11-458,LAOC Corp,NA,yes,e/h,exceeded turb. And tss,no,resolved,10/1/15,2 of 16
458-151110-FIR,11/10/15,VO,21,10,10,10,SM-11-458,Ron Schartiger,Garrett,11/10/15,1 of 3,458-151110-NOV,Rills and gullies,26.20.28.06,0,0,500,250,0,0,750,0,12/30/15,0,0,"As a condition of LAOC Coal&#39;s Inactive Status on this permit, the operator was required to complete the rip-rap
stone lining in the drainage control ditch and perform the reclamation work mentioned above. The operator will
schedule the work and complete it by the dates specified by the Bureau.",2016,11/10/15,SM-11-458,LAOC Coal,NA,yes,t/p,1)rills veg 2)properly dispose of coal cleanings 3) failure to submit ground water,no,resolved,10/1/16,2 of 17
